"Product Code","Product Name",Variant,Expected,Counted
bakf,"Balochi Karhai",quarter,9.0000,
bakh,"Balochi Karhai",,100.0000,
bb,"Beef Behari",,96.0000,
bbfk,"Beef Butterfried Kabab",,98.0000,
bbqp,"BAR. B.Q Platter",,87.0000,
bbr,"Beef Behari Roll",,100.0000,
bck,"Beef Cheese Kabab",,99.0000,
bkf,"Boneless Karhai",,99.0000,
bkh,"Boneless Karhai",,99.0000,
bnk,"Beef Namkeen Kabab",,100.0000,
bsk,"Beef Seekh Kabab",,100.0000,
cb,"Chicken Boti",,98.0000,
ccr,"Chicken Chatni Roll",,100.0000,
cf,Coffee,,99.0000,
cgt,"Chicken Green Tikka",,99.0000,
ch,"Chicken Handi",,99.0000,
chapati,Chapati,,100.0000,
ckf,"Chicken Karhai",,96.0000,
ckh,"Chicken Karhai",,100.0000,
cmar,"Chicken Malai Roll",,100.0000,
cmb,"Chicken Malai Boti",,100.0000,
cmh,"Chicken Makhni Handi",,100.0000,
cmr,"Chicken Mayo Roll",,100.0000,
cmt,"Chicken Malai Tikka",,100.0000,
cnk,"Chicken Namkeen Kabab",,100.0000,
crk,"Chicken Reshmi Kabab",,100.0000,
crkr,"Chicken Reshmi Kabab Roll",,100.0000,
ct,"Chicken Tikka",,100.0000,
cwkf,"Chicken White Karhai",,100.0000,
cwkh,"Chicken White Karahi",,100.0000,
czr,"Chicken Zinger Roll",,99.0000,
dp,Doodhpatti,,100.0000,
fc,"Fish & Chips",,100.0000,
ff,"French Fries",,100.0000,
ft,"Fish Tikka",,100.0000,
gf,"Grilled Fish",,100.0000,
gk1,"gola kabab",,1950.0000,
gn,"Garlic Naan",,98.0000,
kc,"Kashmiri Chai",,100.0000,
kv,Kahva,,100.0000,
lw,"Large Water",,100.0000,
mkf,"Mutton Karhai",,99.0000,
mkh,"Mutton Karhai",,100.0000,
mwkf,"Mutton White Karhai",,100.0000,
mwkh,"Mutton White Karhai",,100.0000,
pn,"Plain Naan",,100.0000,
pp,"Puri Paratha",,100.0000,
prh,"Paneer Reshmi Handi",,100.0000,
raita,Raita,,100.0000,
rn,"Roghni Naan",,92.0000,
salad,Salad,,100.0000,
sd,"Soft Drink",,100.0000,
sr,"special roll",,170.0000,
sw,"Small Water",,99.0000,
